nom_tecnica,display_nom,categoria,tipus_calor,descripcio,impacte_textura,impacte_sabor,requereix_eina,aplicable_a,notes_dietes,aplica_estat,aplica_macro,aplica_family,prioritat_macro,prioritat_family,evita_macro,evita_family,notes_seleccio
nimono,Nimono,cultural,baixa_o_mitjana_temp,Cocció lenta en brou japonès perquè el sabor penetri al producte,tendre|melós,umami|salat,cassola,peix|proteina_animal|verdura|cereal_feculent,controlar_sodi,solid|semi_liquid,protein_animal|vegetable|grain|sauce,cooking_stock,protein_animal>vegetable>grain>sauce,cooking_stock,, ,Objectiu: tècnica humida; prioritza plats que ja tenen “vehicle” (brou/fons)
mushimono,Mushimono,cultural,suau,Cocció al vapor tradicional per preservar textura i puresa del producte,sucós|fi,net|umami,vaporera,peix|proteina_animal|verdura,apta_totes_dietes,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: quan vols lleugeresa i netedat; baixa prioritat si el plat és molt untuós
agemono,Agemono,cultural,mitjana_o_alta_temp,Fregits japonesos (tempura/karaage) amb arrebossat lleuger,cruixent,umami|torrat,fregidora|paella_fonda,peix|proteina_animal|verdura,controlar_greix,solid,protein_animal|vegetable,,protein_animal>vegetable,,fat|dairy,,Objectiu: cruixent contrast; evita si el menú ja té moltes tècniques “pesades”
tsukemono,Tsukemono,cultural,sense_calor,Encurtits i fermentacions curtes com a contrapunt del plat,cruixent|fresc,acid|salat,recipient_fermentacio,verdura|fruita,controlar_sodi,solid,vegetable|fruit,,vegetable>fruit,, ,Objectiu: guarnició àcida; gran per estils citric/umami
dashi,Dashi,cultural,suau,Brou base japonès a partir d’alga i peix sec,lleuger|fluid,umami,olla|colador,liquids|salsa|altre,conté_peix,liquid,sauce|other,cooking_stock,sauce>other,cooking_stock,, ,Objectiu: afegeix umami com a “vehicle” líquid; ideal si el plat està massa sec
tare,Tare,cultural,baixa_o_mitjana_temp,Salsa base japonesa per lacar o acabar plats,brillant|glassejat,umami|dolc_salat,cassola|pinzell,peix|proteina_animal|proteina_vegetal,alt_sodi_i_sucre,liquid|semi_liquid,sauce|other,sweet_sauce,sauce>other,sweet_sauce,, ,Objectiu: lacat final; necessita peça sòlida que aguanti glassejat
kiritsuke,Kiritsuke,cultural,sense_calor,Tècnica de tall japonesa que optimitza textura i mossegada,tall_net|precis,net|mari,ganivet_filo_fi,peix|proteina_animal|verdura,precaucio_cru,solid,protein_animal|vegetable,fish_white|general_seafood,protein_animal>vegetable,fish_white>general_seafood,, ,Objectiu: perfecte per plats crus/semicuits o presentació minimalista

kimchi,Kimchi / Kimjang,cultural,sense_calor,Fermentació coreana de verdures amb salmorra i pasta picant,cruixent|fermentat,acid|umami|picant,recipient_fermentacio,verdura,controlar_sodi_i_picant,solid,vegetable,fermented,vegetable,fermented,, ,Objectiu: afegeix fermentat+picant; com a side o topping
jang_fermentation,Fermentació Jang,cultural,sense_calor_o_suau,Fermentació de pastes i salses coreanes (doenjang/ganjang/gochujang) per umami profund,untós|dens,umami|fermentat,recipient_fermentacio,salsa|altre,alt_sodi,semi_liquid,sauce|other,fermented|soy_derivative,sauce>other,soy_derivative>fermented,, ,Objectiu: base umami; ideal si et falta “salsa” potent
banchan_pickling,Banchan (Encurtits i acompanyaments),cultural,sense_calor,Preparacions petites encurtides que creen contrast i netegen el paladar,cruixent|fresc,acid|salat,recipient,verdura|fruita,controlar_sodi,solid,vegetable|fruit,,vegetable>fruit,, ,Objectiu: side per contrast; encaixa amb qualsevol menú
bulgogi,Bulgogi,cultural,mitjana_o_alta_temp,Marinat coreà i cocció ràpida per caramel·litzar,sucós|tendre,umami|dolc_salat,paella|planxa,proteina_animal|proteina_vegetal,alt_sucre_i_sodi,solid,protein_animal|other,,protein_animal>other,, ,Objectiu: caramel·lització neta; gran amb estils umami/picant
galbi_gui,Galbi-gui,cultural,mitjana_o_alta_temp,Grill coreà amb glassejat del marinat i notes torrades,marcat|caramel_lleu,umami|torrat,graella|planxa,proteina_animal,controlar_sodi,solid,protein_animal,,protein_animal,,fat|dairy,,Objectiu: peça principal “showcase”; ideal segons/rostits
jigae,Jjigae,cultural,baixa_o_mitjana_temp,Estofat coreà intens en cassola; integra fermentats i picant,caldos|melos,umami|picant,cassola,liquids|salsa|proteina_animal|verdura,controlar_sodi_i_picant,semi_liquid|solid,protein_animal|vegetable|sauce,fermented|cooking_stock,sauce>protein_animal>vegetable,fermented>cooking_stock,, ,Objectiu: tècnica de plat; prioritza si ja tens líquids o pots fer brou
jjim,Jjim,cultural,baixa_o_mitjana_temp,Brasejat coreà llarg amb salsa; textura fondant i sabor profund,tendre|melos,umami|salat,cassola_tapa,proteina_animal|verdura,controlar_sodi,solid|semi_liquid,protein_animal|vegetable|sauce,,protein_animal>vegetable>sauce,, ,Objectiu: fondant; baixa prioritat si el menú ja és molt “pesat”
jeon,Jeon,cultural,mitjana_o_alta_temp,Coqueta/pancake salada en planxa amb ingredients integrats,daurat|lleu_cruixent,salat|umami,paella,verdura|peix|proteina_animal,conté_farina_ou,solid,vegetable|protein_animal|grain,processed_cereal,vegetable>protein_animal>grain,processed_cereal,,gluten,,Objectiu: acompanyament cruixent; millor per primers o sides

wok_chao,Wok Chao,cultural,mitjana_o_alta_temp,Saltejat a foc alt al wok per aroma i cocció ràpida,marcat|sucos,aromatic|umami,wok,proteina_animal|peix|verdura|cereal_feculent,apta_totes_dietes,solid,protein_animal|vegetable|grain,fish_white|general_seafood,protein_animal>vegetable>grain,fish_white>general_seafood,, ,Objectiu: quan tens tall net i vols intensitat aromàtica sense salses pesades
bao_steam,Zheng / Bao (Vapor),cultural,suau,Cocció al vapor per preservar textura, ideal per peces delicades,sucos|fi,net|aromatic,vaporera,proteina_animal|peix|verdura|cereal_feculent,apta_totes_dietes,solid,protein_animal|vegetable|grain,,protein_animal>vegetable>grain,, ,Objectiu: lleuger i net; combina bé amb salses finalistes
hongshao,Hongshao,cultural,baixa_o_mitjana_temp,Brasejat amb soja i sucre que crea salsa fosca i brillant,tendre|glassejat,umami|dolc_salat,cassola_tapa,proteina_animal|peix,alt_sodi_i_sucre,solid|semi_liquid,protein_animal|sauce,sweet_sauce|soy_derivative,protein_animal>sauce,sweet_sauce>soy_derivative,, ,Objectiu: profunditat+brillantor; ideal per umami, no per menús “super lleugers”
red_braise,Red Braise,cultural,baixa_o_mitjana_temp,Estofat xinès amb salsa rica i espècies; capes de sabor,melos|dens,umami|aromatic,cassola,proteina_animal|verdura,controlar_sodi,semi_liquid|solid,protein_animal|vegetable|sauce,,sauce>protein_animal>vegetable,, ,Objectiu: tècnica de plat; gran per umami/aromatic
stir_fry_velveting,Velveting,cultural,sense_calor_o_suau,Marinat amb midó per textura sedosa abans del wok,tendre|setinat,umami,bol|colador,proteina_animal|peix,conté_midó,solid,protein_animal,processed_cereal,protein_animal,processed_cereal,,gluten,,Objectiu: millora textura de peix/carn; molt bon complement de wok_chao
laquering,Laquering,cultural,mitjana_o_alta_temp,Lacat repetit amb salsa per capa brillant i saborosa,brillant|caramel_lleu,umami|dolc_salat,forn|pinzell,proteina_animal|peix,alt_sucre_i_sodi,solid,protein_animal,sweet_sauce|soy_derivative,protein_animal,sweet_sauce>soy_derivative,, ,Objectiu: peça sòlida que aguanti lacat; similar a tare però més “xinès”
smoking_tea,Fumat al te,cultural,baixa_temp,Fumat aromàtic amb te i espècies; caràcter sense salses pesades,fumat|sec_just,fumat|aromatic,fumador|wok_tapat,proteina_animal|peix,evitar_sensibles_fumat,solid,protein_animal,fish_white|general_seafood,protein_animal,fish_white>general_seafood,, ,Objectiu: estil fumat lleu; ideal quan vols caràcter sense afegir ingredients
scallion_oil,Oli de ceba tendra,cultural,sense_calor_o_suau,Oli infusionat amb ceba tendra per acabar plats amb aroma net,olios|brillant,aromatic|umami,cassola_petita,liquids|salsa|verdura,controlar_greix,liquid|semi_liquid,fat|sauce,semi_toasted_oils|mediterranean_oils,fat>sauce,semi_toasted_oils>mediterranean_oils,, ,Objectiu: acabat aromàtic; gran per umami/aromatic

jerk_seca,Jerk sec,cultural,mitjana_o_alta_temp,Aplicació en sec d’espècies jerk abans de graella o forn,crosta_especia|sequet_lleu,aromatic_especiat|picant|fumat_lleu,graella|forn,proteina_animal|peix|verdura,controlar_picant,solid,protein_animal|vegetable,spice,protein_animal>vegetable,spice,, ,Objectiu: crosta especiada; ideal per estils picant/fumat
jerk_marinat,Jerk marinat,cultural,sense_calor_o_suau,Marinat jerk amb cítric i espècies per impregnar abans de cocció,sucos|marinat,aromatic_especiat|picant|citric,bol,proteina_animal|peix,controlar_picant_i_acidesa,solid,protein_animal,spice,protein_animal,spice,, ,Objectiu: marinat curt; encaixa amb citric+tropical
mojo_cuba,Mojo cubà,cultural,sense_calor,Marinat de llima i all per perfumar i refrescar,marinat|tendre,citric|herbal|all,bol,proteina_animal|peix|verdura,controlar_acidesa,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: marinat fresc; perfecte per plats “nets”
marinat_citric,Marinat cítric,cultural,sense_calor,Marinat curt amb cítric per potenciar frescor i contrast,marinat_lleu|fresc,citric|salat_suau,bol,peix|proteina_animal|verdura,controlar_acidesa,solid,protein_animal|vegetable,fish_white,protein_animal>vegetable,fish_white,, ,Objectiu: ideal per peix i amanides; si el plat ja és cítric, baixa prioritat
lacat_de_rom,Lacat de rom,cultural,baixa_o_mitjana_temp,Glassejat lleu amb reducció de rom per dolçor tropical i brillantor,lacat_brillant|enganxos_lleu,dolc_salat|rom|caramel_lleu,cassola|pinzell,proteina_animal|peix|fruita,controlar_sucre,solid|semi_liquid,protein_animal|fruit|sauce,sweet_sauce,protein_animal>fruit>sauce,sweet_sauce,, ,Objectiu: tropical dolç-salat; funciona millor amb segon o fruita “pont”
marinat_de_pinya,Marinat de pinya,cultural,sense_calor,Ús controlat de pinya per estovar proteïna abans de cuinar,tendre|marinat,tropical|dolc_suau|citric,bol,proteina_animal,controlar_temps,solid,protein_animal,tropical_fruit,protein_animal,tropical_fruit,, ,Objectiu: estovar (enzims); ideal per carns, no per peix delicat
estofat_de_coco,Estofat de coco,cultural,baixa_o_mitjana_temp,Cocció suau amb llet de coco i aromes; textura melosa,melos|cremos_suau,tropical|dolc_suau|umami_suau,cassola,proteina_animal|peix|verdura,controlar_greix,semi_liquid|solid,protein_animal|vegetable|sauce,emulsion,protein_animal>vegetable>sauce,emulsion,,fat|dairy,,Objectiu: tropical cremós; gran per menus tropical/picant suau
sofregit_caribeny,Sofregit caribeny,cultural,baixa_o_mitjana_temp,Base aromàtica de ceba/all/pebrot per construir plats caribenys,melos_base|salsa_lleu,aromatic|dolc_suau|umami,cassola,verdura|proteina_animal|cereal_feculent,apta_vegans_si_sense_carn,solid|semi_liquid,vegetable|protein_animal|grain,,vegetable>protein_animal>grain,, ,Objectiu: construir fons; útil si el plat queda pla
graella_amb_brasa,Graella amb brasa,cultural,mitjana_o_alta_temp,Cocció directa a la brasa per fum i caràcter,marcat_grill|sequet_lleu,fumat|torrat|salat,brasa,proteina_animal|peix|verdura,evitar_fumat_excessiu,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: fumat+torrat; ideal per “fumat” latent
tostones,Tostones,cultural,mitjana_o_alta_temp,Plàtan verd fregit i aixafat com a acompanyament,cruixent|dorat,salat_suau|tropical,paella_fonda,cereal_feculent|verdura,controlar_greix,solid,grain|vegetable,tropical_fruit,grain>vegetable,tropical_fruit,fat|dairy,,Objectiu: side cruixent tropical; millor com a guarnició
arros_amb_llegum,Arròs amb llegum,cultural,baixa_o_mitjana_temp,Arròs cuinat amb llegum i aromes; base caribenya,gra_separat|melos_lleu,umami_suau|aromatic,olla,cereal_feculent,controlar_sodi,solid,grain,,grain,, ,Objectiu: base d’acompanyament; només si el menú té cereal
escabetx_tropical,Escabetx tropical,cultural,baixa_o_mitjana_temp,Escabetx curt amb vinagre o cítric per acidesa i frescor,cruixent|sucos,citric|acid|fresc,cassola|bol,verdura|peix,controlar_acidesa,solid|semi_liquid,vegetable|protein_animal|sauce,acetic|asian_acetic,vegetable>protein_animal>sauce,acetic,, ,Objectiu: acabat àcid; molt útil per “citric” i per tallar greix

ceviche_classic,Ceviche clàssic,cultural,sense_calor,Marinat curt amb llima i ají per “cocció en fred”,cru_marinar|sucos,fresc|citric|umami_suau,bol,peix,controlar_acidesa,solid,protein_animal,fish_white,protein_animal,fish_white,, ,Objectiu: només si el plat admet cru; ideal per peruà/cítric
tiradito_fi,Tiradito,cultural,sense_calor,Tall fi de peix cru amb salsa cítrica al final,laminat_fi|cru,fresc|citric|net,ganivet_filo_fi,peix,precaucio_cru,solid,protein_animal,fish_white,protein_animal,fish_white,, ,Objectiu: semblant a ceviche però més “net”; ideal per presentació
llet_de_tigre,Llet de tigre,cultural,sense_calor_o_suau,Emulsió cítrica usada com a salsa base o acabat,liquid_emulsionat|lleu,citric|umami|picant_suau,batedor_manual,liquids|salsa,conté_peix,liquid|semi_liquid,sauce|other,emulsion|cooking_stock,sauce>other,emulsion>cooking_stock,, ,Objectiu: vehicle líquid brillant; molt compatible amb puntillisme/gel
marinat_curt_aji,Marinat curt d’ají,cultural,sense_calor,Marinat breu amb ají fresc per picant net sense coure massa,marinat_lleu|net,picant_controlat|aromatic,bol,peix|proteina_animal|verdura,controlar_picant,solid,protein_animal|vegetable,spice,protein_animal>vegetable,spice,, ,Objectiu: picant fresc; molt bo amb citric/umami suau
saltat_wok_criollo,Saltat crioll (Chifa),cultural,mitjana_o_alta_temp,Saltejat ràpid amb ají i soja lleu; influència xinesa, saltat_rapid|lleu,umami|aromatic,wok,proteina_animal|verdura,controlar_sodi,solid,protein_animal|vegetable,soy_derivative,protein_animal>vegetable,soy_derivative,, ,Objectiu: “pont” peruà-xinès; perfecte per umami/aromatic
sofregit_aji_base,Sofregit d’ají,cultural,baixa_o_mitjana_temp,Base d’ají, ceba i all per estructurar plats peruans,base_melosa|lleu,umami|aromatic,cassola,verdura|proteina_animal,controlar_picant,solid|semi_liquid,vegetable|protein_animal,spice,vegetable>protein_animal,spice,, ,Objectiu: construir fons; útil quan el plat queda pla
emulsion_aji_llima,Emulsió d’ají i llima,cultural,sense_calor,Emulsió lleugera per frescor i picant equilibrat,emulsion_fina|brillant,citric|picant_suau,batedor_manual,liquids,controlar_acidesa,liquid|semi_liquid,sauce|other,emulsion,sauce>other,emulsion,, ,Objectiu: acabat brillant; encaixa amb citric/picant

nixtamalitzacio,Nixtamalització,cultural,baixa_o_mitjana_temp,Tractament del blat de moro amb calç; textura i sabor millorats,hidratar|estovar|moldre,terros|umami_suau,cassola,cereal_feculent,controlar_alcalinitat,solid|semi_liquid,grain,processed_cereal,grain,processed_cereal,, ,Objectiu: només si hi ha blat de moro/masa (mexicà)
chile_torrat_i_moldre,Torrat i mòlta de xiles,cultural,baixa_o_mitjana_temp,Torrar suau xiles secs i moldre per aroma i profunditat,torrat_secat|moldre,aromatic|fumat_lleu,paella|morter,spice,controlar_fumat,solid,spice,,spice,, ,Objectiu: construir salsa/pols; útil per estils picant/fumat
marinat_adobo,Marinat adobo,cultural,sense_calor_o_suau,Marinat amb xile, espècies, vinagre i greix per picant i protecció,marinat_mig|penetrant,picant|acid|aromatic,bol,proteina_animal|verdura,controlar_picant,solid,protein_animal|vegetable,spice,protein_animal>vegetable,spice,, ,Objectiu: base mexic; encaixa amb picant/citric
marinat_mole_base,Base de mole,cultural,baixa_o_mitjana_temp,Concentrat de xiles i espècies per napar o estofar lleu,espessir|napar,umami|dolc_suau|fumat,cassola,proteina_animal|verdura,alt_sucre,semi_liquid,sauce|other|protein_animal,spice|sweet_sauce,sauce>protein_animal>other,spice>sweet_sauce,, ,Objectiu: salsa “gruixuda”; ideal per umami/fumat
planxa_comal,Planxa al comal,cultural,mitjana_o_alta_temp,Cocció seca sobre planxa de ferro per concentrar sabor,marcat_secat|daurat,torrefacte|net,planxa,proteina_animal|verdura|cereal_feculent,apta_totes_dietes,solid,protein_animal|vegetable|grain,,protein_animal>vegetable>grain,, ,Objectiu: plat sec i net; molt controlable
brasa_directa,Brasa directa,cultural,mitjana_o_alta_temp,Cocció a foc directe amb lleu fumat i caramel·lització ràpida,foc_viu|marcat,fumat_lleu|intens,brasa,proteina_animal|verdura,evitar_fumat_excessiu,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: fumat lleu; genial per “fumat”
saltejat_sequera,Saltejat sec,cultural,mitjana_o_alta_temp,Saltejat ràpid amb poc greix per textura i aroma, saltat_rapid|lleu,aromatic|net,paella,verdura|proteina_animal,controlar_oli,solid,vegetable|protein_animal,,vegetable>protein_animal,,fat,,Objectiu: quan vols lleugeresa i no vols salsa
emulsion_xile_llima,Emulsió de xile i llima,cultural,sense_calor,Emulsió fresca de xile i àcid per acabar plats,emulsion_lleu|brillant,acid|picant_suau,batedor_manual,liquids,controlar_acidesa,liquid|semi_liquid,sauce|other,emulsion,sauce>other,emulsion,, ,Objectiu: acabat fresc; excel·lent per picant/cítric

soffritto_base,Soffritto,cultural,baixa_o_mitjana_temp,Base aromàtica de ceba/pastanaga/api en oli, cuita lentament,cocció_lenta|base_sabor,herbal|dolc_suau,cassola,verdura,apta_vegans,solid|semi_liquid,vegetable|fat,,vegetable>fat,, ,Objectiu: construir profunditat; ideal per italia/mediterrani
reduccio_lenta_sugo,Reducció lenta de sugo,cultural,baixa_o_mitjana_temp,Reducció prolongada de tomàquet per concentrar dolçor i umami, reduccio_llarga|espessir,umami_natural|dolc_suau,cassola,liquids,controlar_acidesa,semi_liquid,sauce|other,wine_reduction|sweet_sauce,sauce>other,wine_reduction>sweet_sauce,, ,Objectiu: salsa base italiana; encaixa amb umami “natural”
emulsio_oli_formatge,Emulsió oli i formatge,cultural,sense_calor_o_suau,Emulsió d’oli d’oliva i formatge ratllat per lligar sense nata,emulsion_suau|lligar,ric_suau|umami,batedor,liquids,conté_lacti,liquid|semi_liquid,sauce|fat|dairy,emulsion|dairy_cheese,sauce>fat>dairy,emulsion>dairy_cheese,, ,Objectiu: lligar i donar sedositat; ideal italia (mantecatura-style)
rostit_lent,Rostit lent,cultural,baixa_o_mitjana_temp,Cocció prolongada a temperatura moderada per fondant i caramelització,cocció_llarga|caramelitzar,profund|ric_suau,forn,proteina_animal|verdura,controlar_greix,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: fondant net; útil per segons
coccio_pasta_al_dente,Pasta al dente,cultural,baixa_o_mitjana_temp,Cocció precisa per fermesa i absorció òptima de salsa,cocció_controlada|escorregut,net|equilibrat,olla,cereal_feculent,conté_gluten,solid,grain,processed_cereal,grain,processed_cereal,,gluten,,Objectiu: només si hi ha pasta/cereal; tècnica “estructural”
mantecatura,Mantecatura,cultural,sense_calor_o_suau,Lligar pasta amb salsa + greix + aigua de cocció fora del foc,lligar|emulsionar,sedos|ric_suau,paella|pinces,liquids,conté_gluten_i_possible_lacti,semi_liquid,grain|sauce|fat,emulsion,grain>sauce>fat,emulsion,,dairy,,Objectiu: textura sedosa; ideal per italia

nam_prik,Nam Prik,cultural,sense_calor,Pasta tailandesa de xili al morter com a base aromàtica,pasta_granulada,umami|picant|acid,morter,verdura|peix|carns,apte_vegans_sense_peix,semi_liquid,sauce|other,fermented|soy_derivative,sauce>other,fermented>soy_derivative,, ,Objectiu: base intensa; picant+tropical
pasta_curry_tradicional,Pasta de curry tradicional,cultural,sense_calor,Pasta fresca de curry amb espècies i herbes aromàtiques,granulat_fi,aromatic|picant|profund,morter,verdura|peix|carns,variable_segon_recepta,semi_liquid,other|spice,,spice>other,, ,Objectiu: base curry; molt útil per tropical/picant
morter_i_pila,Morter i pila,cultural,sense_calor,Picat manual per alliberar olis essencials i mantenir aromes,textura_natural,aromatic_intens,morter,herbes|espècies|pastes,apta_totes_dietes,solid|semi_liquid,spice|other,,spice>other,, ,Objectiu: tècnica de preparació; útil per escollir “com” fer bases
saltejat_wok_rapid,Saltejat ràpid al wok,cultural,mitjana_o_alta_temp,Saltejat breu a foc alt amb moviment constant i poc greix,exterior_marcat|interior_sucos,umami|torrat_lleu,wok,verdura|peix|carns,apta_totes_dietes,solid,protein_animal|vegetable,fish_white|general_seafood,protein_animal>vegetable,fish_white>general_seafood,, ,Objectiu: versió tailandesa “net” del wok; ideal per plats secs
curry_estofat,Curry estofat amb llet de coco,cultural,baixa_o_mitjana_temp,Cocció lenta en llet de coco amb pasta curry fins integrar sabors,cremos_suau,dolc_salat|umami,cassola,verdura|peix|carns,vegetaria_possible,semi_liquid|solid,protein_animal|vegetable|sauce,emulsion,protein_animal>vegetable>sauce,emulsion,,fat|dairy,,Objectiu: tropical cremós; millor per segons o plats “salsa”
vapor_aromatic,Vapor aromàtic,cultural,suau,Vapor amb aromàtics (lemongrass/kaffir) per perfum i netedat,tendra_neta,aromatic_fresc,vaporera,peix|verdures,apta_totes_dietes,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: perfum fresc; perfecte per citric/tropical
marinat_llima_peix,Marinat de llima i peix,cultural,sense_calor,Marinat curt amb llima i salsa de peix per frescor i umami,fermesa_lleu,fresc|acid,recipient,peix|marisc,no_vegetaria,solid,protein_animal,fish_white|general_seafood,protein_animal,fish_white>general_seafood,, ,Objectiu: “acid+umami”; ideal per citric/umami
reduccio_llet_coco,Reducció de llet de coco,cultural,baixa_o_mitjana_temp,Reduir llet de coco per concentrar dolçor i greix natural,velutat,dolc_suau|umami,cassola,plats_curry|salses,vegetaria,semi_liquid,sauce|fat,emulsion,sauce>fat,emulsion,,fat|dairy,,Objectiu: salsa velutada; útil quan falta cos a plats tropicals

amanit_oli_llima,Amanit d’oli i llima,cultural,sense_calor,Amaniment fresc d’oli i cítric per realçar el producte,lleuger_natural,citric|herbal,batedor_manual,verdures|peix|amanides,apta_vegan,liquid|semi_liquid,fat|sauce,mediterranean_oils,fat>sauce,mediterranean_oils,, ,Objectiu: acabat; perfecte per primer/amanides
marinat_herbes,Marinat d’herbes fresques,cultural,sense_calor,Marinat curt amb herbes mediterrànies i oli per perfumar,tendra_lleu,herbal|aromatic,recipient,peix|carns_blancs|verdures,apta_totes_dietes,solid,protein_animal|vegetable,aromatic_herb,protein_animal>vegetable,aromatic_herb,, ,Objectiu: perfum “herbal”; ideal per mediterrani/italia
rostit_senzill,Rostit senzill al forn,cultural,mitjana_temp,Rostit net amb oli i sal per concentrar el sabor propi,exterior_daurat|interior_sucos,umami_suau,forn,verdures|peix|carns,apta_totes_dietes,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: base general; bo quan no vols tècniques massa “marcades”
planxa_producte,Planxa directa de producte,cultural,mitjana_o_alta_temp,Cocció ràpida a planxa amb poc greix per marcar sense assecar,marcat_fora|sucos_dins,torrat_lleu,planxa,peix|verdures|carns_blancs,apta_totes_dietes,solid,protein_animal|vegetable,fish_white,protein_animal>vegetable,fish_white,, ,Objectiu: tècnica universal; ideal segons
emulsio_senzilla,Emulsió senzilla d’oli,cultural,sense_calor,Emulsió bàsica d’oli amb àcid suau per lligar plats,velutat_lleu,acid_suau|umami,batedor_manual,amanides|verdures|peix,apta_vegan,liquid|semi_liquid,fat|sauce,emulsion,fat>sauce,emulsion,, ,Objectiu: “salsa lleugera” quan el plat no té vehicle
forn_suau,Forn suau a baixa temperatura,cultural,baixa_o_mitjana_temp,Cocció controlada per preservar humitat i textura,tendra_uniforme,sabor_net,forn,peix|verdures|carns_blancs,apta_totes_dietes,solid,protein_animal|vegetable,fish_white,protein_animal>vegetable,fish_white,, ,Objectiu: net i segur; ideal per peix delicat

quick_pickle,Encurtit ràpid (Quick pickle),cultural,sense_calor,Encurtit curt (vinagre o cítric + sal + sucre mínim) per aportar acidesa neta,cruixent|fresc,acid|net,recipient,verdura|fruita,controlar_sodi,solid,vegetable|fruit,acetic,vegetable>fruit,acetic,, ,Objectiu: versió universal de tsukemono/banchan; gran per “citric”
chili_oil,Oli picant infusionat,cultural,baixa_o_mitjana_temp,Infusionar xili en oli per aportar picant controlat i aroma persistent,olios|brillant,picant|aromatic,cassola_petita,liquids|salsa|altre,controlar_picant,liquid|semi_liquid,fat|sauce,spice,fat>sauce,spice,, ,Objectiu: afegeix “picant” sense canviar ingredients principals; ideal per plats secs
citrus_zest_finish,Ratlladura cítrica final,cultural,sense_calor,Acabat amb ratlladura de cítric per potenciar aroma sense afegir acidesa,lleu|aeri,citric|aromatic,rallador,postres|verdures|peix,apta_vegan,solid|semi_liquid,vegetable|protein_animal|sweet,,vegetable>protein_animal>sweet,, ,Objectiu: intensifica “citric” quan ja tens llima/llimona però vols més aroma
smoke_lleu_finish,Fumat lleu final,cultural,baixa_temp,Fumat molt curt (campana/fumador) per nota fumat sense carregar,sec_just|perfum,fumat_lleu|aromatic,campana_fumat,peix|proteina_animal|verdura,evitar_sensibles_fumat,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: “fumat” latent sense reescriure la recepta
